"Notes"	"Age of Infant at Death"	"Age of Infant at Death Code"	"Cause of death"	"Cause of death Code"	Deaths	Births	Death Rate
	"7 - 27 days"	"04"	"Other ill-defined heart diseases"	"I51.8"	9	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Heart disease, unspecified"	"I51.9"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	7	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Intracerebral haemorrhage, unspecified"	"I61.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Cerebral infarction due to embolism of cerebral arteries"	"I63.4"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other cerebral infarction"	"I63.8"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Cerebral infarction, unspecified"	"I63.9"	23	40445070	0.00
	"7 - 27 days"	"04"	"Stroke, not specified as haemorrhage or infarction"	"I64"	8	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified cerebrovascular diseases"	"I67.8"	22	40445070	0.00
	"7 - 27 days"	"04"	"Cerebrovascular disease, unspecified"	"I67.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Atherosclerosis of renal artery"	"I70.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Generalized and unspecified atherosclerosis"	"I70.9"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Dissection of aorta [any part]"	"I71.0"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	10	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Embolism and thrombosis of unspecified artery"	"I74.9"	6	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other diseases of capillaries"	"I78.8"	15	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Disease of capillaries, unspecified"	"I78.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Portal vein thrombosis"	"I81"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Budd-Chiari syndrome"	"I82.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Embolism and thrombosis of renal vein"	"I82.3"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Embolism and thrombosis of other specified veins"	"I82.8"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Embolism and thrombosis of unspecified vein"	"I82.9"	6	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Compression of vein"	"I87.1"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Lymphoedema, not elsewhere classified"	"I89.0"	7	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified noninfective disorders of lymphatic vessels and lymph nodes"	"I89.8"	17	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Hypotension, unspecified"	"I95.9"	5	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other and unspecified disorders of circulatory system"	"I99"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute nasopharyngitis [common cold]"	"J00"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute laryngitis"	"J04.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute tracheitis"	"J04.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute epiglottitis"	"J05.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute upper respiratory infection, unspecified"	"J06.9"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Influenza due to identified avian influenza virus"	"J09"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Influenza with other manifestations, virus not identified"	"J11.8"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Pneumonia due to staphylococcus"	"J15.2"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Bronchopneumonia, unspecified"	"J18.0"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Pneumonia, unspecified"	"J18.9"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute bronchitis, unspecified"	"J20.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute bronchiolitis due to respiratory syncytial virus"	"J21.0"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute bronchiolitis due to other specified organisms"	"J21.8"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute bronchiolitis, unspecified"	"J21.9"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Unspecified acute lower respiratory infection"	"J22"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Chronic laryngitis"	"J37.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Paralysis of vocal cords and larynx"	"J38.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Oedema of larynx"	"J38.4"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified diseases of upper respiratory tract"	"J39.8"	6	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Emphysema, unspecified"	"J43.9"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Pneumonitis due to food and vomit"	"J69.0"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Adult respiratory distress syndrome"	"J80"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Pulmonary oedema"	"J81"	5	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Alveolar and parietoalveolar conditions"	"J84.0"	7	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Pyothorax with fistula"	"J86.0"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Pyothorax without fistula"	"J86.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Pleural effusion, not elsewhere classified"	"J90"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Spontaneous tension pneumothorax"	"J93.0"	7	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Pneumothorax, unspecified"	"J93.9"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified pleural conditions"	"J94.8"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Respiratory failure, unspecified"	"J96.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Diseases of bronchus, not elsewhere classified"	"J98.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Diseases of mediastinum, not elsewhere classified"	"J98.5"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Respiratory disorder, unspecified"	"J98.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Major anomalies of jaw size"	"K07.0"	5	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Gastro-oesophageal reflux disease without oesophagitis"	"K21.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Perforation of oesophagus"	"K22.3"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation"	"K25.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified diseases of stomach and duodenum"	"K31.8"	14	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Disease of stomach and duodenum, unspecified"	"K31.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute appendicitis, other and unspecified"	"K35.8"	6	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute appendicitis, unspecified"	"K35.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Unspecified appendicitis"	"K37"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Unilateral or unspecified inguinal hernia, with gangrene"	"K40.4"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Umbilical hernia without obstruction or gangrene"	"K42.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Diaphragmatic hernia without obstruction or gangrene"	"K44.9"	15	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Unspecified abdominal hernia with obstruction, without gangrene"	"K46.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Unspecified abdominal hernia without obstruction or gangrene"	"K46.9"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Crohn disease, unspecified"	"K50.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified noninfective gastroenteritis and colitis"	"K52.8"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	27	40445070	0.00
	"7 - 27 days"	"04"	"Acute vascular disorders of intestine"	"K55.0"	66	40445070	0.00
	"7 - 27 days"	"04"	"Chronic vascular disorders of intestine"	"K55.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Vascular disorder of intestine, unspecified"	"K55.9"	19	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Volvulus"	"K56.2"	20	40445070	0.00
	"7 - 27 days"	"04"	"Ileus, unspecified"	"K56.7"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Megacolon, not elsewhere classified"	"K59.3"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified diseases of intestine"	"K63.8"	5	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Disease of intestine, unspecified"	"K63.9"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Peritoneal adhesions"	"K66.0"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Haemoperitoneum"	"K66.1"	8	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified disorders of peritoneum"	"K66.8"	20	40445070	0.00
	"7 - 27 days"	"04"	"Acute and subacute hepatic failure"	"K72.0"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Hepatic failure, unspecified"	"K72.9"	47	40445070	0.00
	"7 - 27 days"	"04"	"Other and unspecified cirrhosis of liver"	"K74.6"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Abscess of liver"	"K75.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Fatty (change of) liver, not elsewhere classified"	"K76.0"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Chronic passive congestion of liver"	"K76.1"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Infarction of liver"	"K76.3"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Portal hypertension"	"K76.6"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Hepatorenal syndrome"	"K76.7"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified diseases of liver"	"K76.8"	16	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Liver disease, unspecified"	"K76.9"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other cholecystitis"	"K81.8"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Cholangitis"	"K83.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Obstruction of bile duct"	"K83.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute pancreatitis, unspecified"	"K85.9"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Blind loop syndrome, not elsewhere classified"	"K90.2"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Malabsorption due to intolerance, not elsewhere classified"	"K90.4"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Intestinal malabsorption, unspecified"	"K90.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Gastrointestinal haemorrhage, unspecified"	"K92.2"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified diseases of digestive system"	"K92.8"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Disease of digestive system, unspecified"	"K92.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Staphylococcal scalded skin syndrome"	"L00"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Cutaneous abscess, furuncle and carbuncle, unspecified"	"L02.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Cellulitis of other parts of limb"	"L03.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Cellulitis, unspecified"	"L03.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified erythematous conditions"	"L53.8"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Scar conditions and fibrosis of skin"	"L90.5"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Disorder of skin and subcutaneous tissue, unspecified"	"L98.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Systemic involvement of connective tissue, unspecified"	"M35.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Ischaemic infarction of muscle"	"M62.2"	7	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Disorder of muscle, unspecified"	"M62.9"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Necrotizing fasciitis"	"M72.6"	11	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Nonunion of fracture [pseudarthrosis]"	"M84.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Nephrotic syndrome, unspecified"	"N04.9"	7	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute tubulo-interstitial nephritis"	"N10"	5	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Tubulo-interstitial nephritis, not specified as acute or chronic"	"N12"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other and unspecified hydronephrosis"	"N13.3"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Obstructive and reflux uropathy, unspecified"	"N13.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute renal failure with tubular necrosis"	"N17.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute renal failure with acute cortical necrosis"	"N17.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Acute renal failure, unspecified"	"N17.9"	82	40445070	0.00
	"7 - 27 days"	"04"	"End-stage renal disease"	"N18.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Chronic renal failure, unspecified"	"N18.9"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Unspecified renal failure"	"N19"	256	40445070	0.01
	"7 - 27 days"	"04"	"Other specified disorders of kidney and ureter"	"N28.8"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Disorder of kidney and ureter, unspecified"	"N28.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Bladder-neck obstruction"	"N32.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Rupture of bladder, nontraumatic"	"N32.4"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified disorders of bladder"	"N32.8"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Inflammatory disease of uterus, unspecified"	"N71.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by maternal hypertensive disorders"	"P00.0"	49	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by maternal renal and urinary tract diseases"	"P00.1"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by maternal infectious and parasitic diseases"	"P00.2"	6	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by other maternal circulatory and respiratory diseases"	"P00.3"	15	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by maternal nutritional disorders"	"P00.4"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by maternal injury"	"P00.5"	24	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by surgical procedure on mother"	"P00.6"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by other maternal conditions"	"P00.8"	14	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by unspecified maternal condition"	"P00.9"	5	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by incompetent cervix"	"P01.0"	20	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by premature rupture of membranes"	"P01.1"	76	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by oligohydramnios"	"P01.2"	25	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by multiple pregnancy"	"P01.5"	54	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by maternal death"	"P01.6"	6	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by maternal complication of pregnancy, unspecified"	"P01.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by placenta praevia"	"P02.0"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	144	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by other and unspecified morphological and functional abnormalities of placenta"	"P02.2"	15	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by placental transfusion syndromes"	"P02.3"	55	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by prolapsed cord"	"P02.4"	18	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by other compression of umbilical cord"	"P02.5"	14	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by other and unspecified conditions of umbilical cord"	"P02.6"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by chorioamnionitis"	"P02.7"	70	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by breech delivery and extraction"	"P03.0"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by other malpresentation, malposition and disproportion during labour and delivery"	"P03.1"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by caesarean delivery"	"P03.4"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by other specified complications of labour and delivery"	"P03.8"	34	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by complication of labour and delivery, unspecified"	"P03.9"	9	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by other maternal medication"	"P04.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by maternal use of tobacco"	"P04.2"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by maternal use of alcohol"	"P04.3"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Newborn affected by maternal use of drugs of addiction"	"P04.4"	37	40445070	0.00
	"7 - 27 days"	"04"	"Newborn affected by maternal noxious influence, unspecified"	"P04.9"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Small for gestational age"	"P05.1"	22	40445070	0.00
	"7 - 27 days"	"04"	"Fetal malnutrition without mention of light or small for gestational age"	"P05.2"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Slow fetal growth, unspecified"	"P05.9"	211	40445070	0.01
	"7 - 27 days"	"04"	"Extremely low birth weight"	"P07.0"	39	40445070	0.00
	"7 - 27 days"	"04"	"Other low birth weight"	"P07.1"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Extreme immaturity"	"P07.2"	918	40445070	0.02
	"7 - 27 days"	"04"	"Other preterm infants"	"P07.3"	215	40445070	0.01
	"7 - 27 days"	"04"	"Cerebral haemorrhage due to birth injury"	"P10.1"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Cerebral oedema due to birth injury"	"P11.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified brain damage due to birth injury"	"P11.1"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Unspecified brain damage due to birth injury"	"P11.2"	21	40445070	0.00
	"7 - 27 days"	"04"	"Birth injury to spine and spinal cord"	"P11.5"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Birth injury to central nervous system, unspecified"	"P11.9"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Birth injury to skeleton, unspecified"	"P13.9"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Birth injury to liver"	"P15.0"	9	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other specified birth injuries"	"P15.8"	6	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Birth injury, unspecified"	"P15.9"	5	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Intrauterine hypoxia first noted before onset of labour"	"P20.0"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Intrauterine hypoxia, unspecified"	"P20.9"	261	40445070	0.01
	"7 - 27 days"	"04"	"Severe birth asphyxia"	"P21.0"	23	40445070	0.00
	"7 - 27 days"	"04"	"Birth asphyxia, unspecified"	"P21.9"	325	40445070	0.01
	"7 - 27 days"	"04"	"Respiratory distress syndrome of newborn"	"P22.0"	1094	40445070	0.03
	"7 - 27 days"	"04"	"Other respiratory distress of newborn"	"P22.8"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Respiratory distress of newborn, unspecified"	"P22.9"	74	40445070	0.00
	"7 - 27 days"	"04"	"Congenital pneumonia due to viral agent"	"P23.0"	27	40445070	0.00
	"7 - 27 days"	"04"	"Congenital pneumonia due to staphylococcus"	"P23.2"	23	40445070	0.00
	"7 - 27 days"	"04"	"Congenital pneumonia due to streptococcus, group B"	"P23.3"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Congenital pneumonia due to Escherichia coli"	"P23.4"	7	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Congenital pneumonia due to Pseudomonas"	"P23.5"	20	40445070	0.00
	"7 - 27 days"	"04"	"Congenital pneumonia due to other bacterial agents"	"P23.6"	39	40445070	0.00
	"7 - 27 days"	"04"	"Congenital pneumonia due to other organisms"	"P23.8"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Congenital pneumonia, unspecified"	"P23.9"	297	40445070	0.01
	"7 - 27 days"	"04"	"Neonatal aspiration of meconium"	"P24.0"	52	40445070	0.00
	"7 - 27 days"	"04"	"Neonatal aspiration of amniotic fluid and mucus"	"P24.1"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Neonatal aspiration of milk and regurgitated food"	"P24.3"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Neonatal aspiration syndrome, unspecified"	"P24.9"	23	40445070	0.00
	"7 - 27 days"	"04"	"Interstitial emphysema originating in the perinatal period"	"P25.0"	143	40445070	0.00
	"7 - 27 days"	"04"	"Pneumothorax originating in the perinatal period"	"P25.1"	137	40445070	0.00
	"7 - 27 days"	"04"	"Pneumomediastinum originating in the perinatal period"	"P25.2"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Pneumopericardium originating in the perinatal period"	"P25.3"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other conditions related to interstitial emphysema originating in the perinatal period"	"P25.8"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Tracheobronchial haemorrhage originating in the perinatal period"	"P26.0"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Massive pulmonary haemorrhage originating in the perinatal period"	"P26.1"	7	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other pulmonary haemorrhages originating in the perinatal period"	"P26.8"	5	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Unspecified pulmonary haemorrhage originating in the perinatal period"	"P26.9"	227	40445070	0.01
	"7 - 27 days"	"04"	"Wilson-Mikity syndrome"	"P27.0"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	60	40445070	0.00
	"7 - 27 days"	"04"	"Other chronic respiratory diseases originating in the perinatal period"	"P27.8"	1	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Unspecified chronic respiratory disease originating in the perinatal period"	"P27.9"	78	40445070	0.00
	"7 - 27 days"	"04"	"Primary atelectasis of newborn"	"P28.0"	227	40445070	0.01
	"7 - 27 days"	"04"	"Other and unspecified atelectasis of newborn"	"P28.1"	4	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Primary sleep apnoea of newborn"	"P28.3"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other apnoea of newborn"	"P28.4"	33	40445070	0.00
	"7 - 27 days"	"04"	"Respiratory failure of newborn"	"P28.5"	53	40445070	0.00
	"7 - 27 days"	"04"	"Other specified respiratory conditions of newborn"	"P28.8"	67	40445070	0.00
	"7 - 27 days"	"04"	"Respiratory condition of newborn, unspecified"	"P28.9"	29	40445070	0.00
	"7 - 27 days"	"04"	"Neonatal cardiac failure"	"P29.0"	498	40445070	0.01
	"7 - 27 days"	"04"	"Neonatal cardiac dysrhythmia"	"P29.1"	405	40445070	0.01
	"7 - 27 days"	"04"	"Neonatal hypertension"	"P29.2"	24	40445070	0.00
	"7 - 27 days"	"04"	"Persistent fetal circulation"	"P29.3"	332	40445070	0.01
	"7 - 27 days"	"04"	"Transient myocardial ischaemia of newborn"	"P29.4"	3	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Other cardiovascular disorders originating in the perinatal period"	"P29.8"	23	40445070	0.00
	"7 - 27 days"	"04"	"Cardiovascular disorder originating in the perinatal period, unspecified"	"P29.9"	2	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Congenital cytomegalovirus infection"	"P35.1"	50	40445070	0.00
	"7 - 27 days"	"04"	"Congenital herpesviral [herpes simplex] infection"	"P35.2"	432	40445070	0.01
	"7 - 27 days"	"04"	"Other congenital viral diseases"	"P35.8"	30	40445070	0.00
	"7 - 27 days"	"04"	"Congenital viral disease, unspecified"	"P35.9"	5	40445070	0.00 (Unreliable)
	"7 - 27 days"	"04"	"Sepsis of newborn due to streptococcus, group B"	"P36.0"	85	40445070	0.00
