"Notes"	"Age of Mother"	"Age of Mother Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Births	Death Rate
	"30-34 years"	"30-34"	"Oklahoma"	"40"	"Unidentified Counties, OK"	"40999"	30	5635	5.32
	"30-34 years"	"30-34"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	12	3012	3.98 (Unreliable)
	"30-34 years"	"30-34"	"Oregon"	"41"	"Unidentified Counties, OR"	"41999"	22	4353	5.05
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	25	4604	5.43
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"Dauphin County, PA"	"42043"	10	957	10.45 (Unreliable)
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"Delaware County, PA"	"42045"	14	2367	5.91 (Unreliable)
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"Lancaster County, PA"	"42071"	10	1979	5.05 (Unreliable)
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"Montgomery County, PA"	"42091"	18	3554	5.06 (Unreliable)
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"Philadelphia County, PA"	"42101"	38	5896	6.45
	"30-34 years"	"30-34"	"Pennsylvania"	"42"	"Unidentified Counties, PA"	"42999"	59	11291	5.23
	"30-34 years"	"30-34"	"Rhode Island"	"44"	"Providence County, RI"	"44007"	12	2101	5.71 (Unreliable)
	"30-34 years"	"30-34"	"South Carolina"	"45"	"Unidentified Counties, SC"	"45999"	34	6982	4.87
	"30-34 years"	"30-34"	"South Dakota"	"46"	"Unidentified Counties, SD"	"46999"	13	3315	3.92 (Unreliable)
	"30-34 years"	"30-34"	"Tennessee"	"47"	"Davidson County, TN"	"47037"	12	3123	3.84 (Unreliable)
	"30-34 years"	"30-34"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	22	3062	7.18
	"30-34 years"	"30-34"	"Tennessee"	"47"	"Unidentified Counties, TN"	"47999"	55	9605	5.73
	"30-34 years"	"30-34"	"Texas"	"48"	"Bexar County, TX"	"48029"	39	6900	5.65
	"30-34 years"	"30-34"	"Texas"	"48"	"Collin County, TX"	"48085"	15	4082	3.67 (Unreliable)
	"30-34 years"	"30-34"	"Texas"	"48"	"Dallas County, TX"	"48113"	58	10391	5.58
	"30-34 years"	"30-34"	"Texas"	"48"	"Denton County, TX"	"48121"	13	3317	3.92 (Unreliable)
	"30-34 years"	"30-34"	"Texas"	"48"	"El Paso County, TX"	"48141"	12	2606	4.60 (Unreliable)
	"30-34 years"	"30-34"	"Texas"	"48"	"Fort Bend County, TX"	"48157"	12	3707	3.24 (Unreliable)
	"30-34 years"	"30-34"	"Texas"	"48"	"Harris County, TX"	"48201"	97	19768	4.91
	"30-34 years"	"30-34"	"Texas"	"48"	"Hidalgo County, TX"	"48215"	15	2986	5.02 (Unreliable)
	"30-34 years"	"30-34"	"Texas"	"48"	"Tarrant County, TX"	"48439"	41	7771	5.28
	"30-34 years"	"30-34"	"Texas"	"48"	"Travis County, TX"	"48453"	13	5230	2.49 (Unreliable)
	"30-34 years"	"30-34"	"Texas"	"48"	"Williamson County, TX"	"48491"	16	2250	7.11 (Unreliable)
	"30-34 years"	"30-34"	"Texas"	"48"	"Unidentified Counties, TX"	"48999"	117	21471	5.45
	"30-34 years"	"30-34"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	27	4946	5.46
	"30-34 years"	"30-34"	"Utah"	"49"	"Utah County, UT"	"49049"	24	3175	7.56
	"30-34 years"	"30-34"	"Utah"	"49"	"Unidentified Counties, UT"	"49999"	19	3882	4.89 (Unreliable)
	"30-34 years"	"30-34"	"Virginia"	"51"	"Fairfax County, VA"	"51059"	13	5411	2.40 (Unreliable)
	"30-34 years"	"30-34"	"Virginia"	"51"	"Unidentified Counties, VA"	"51999"	88	16911	5.20
	"30-34 years"	"30-34"	"Washington"	"53"	"King County, WA"	"53033"	37	10085	3.67
	"30-34 years"	"30-34"	"Washington"	"53"	"Pierce County, WA"	"53053"	15	3258	4.60 (Unreliable)
	"30-34 years"	"30-34"	"Washington"	"53"	"Snohomish County, WA"	"53061"	16	3434	4.66 (Unreliable)
	"30-34 years"	"30-34"	"Washington"	"53"	"Unidentified Counties, WA"	"53999"	27	6146	4.39
	"30-34 years"	"30-34"	"West Virginia"	"54"	"Unidentified Counties, WV"	"54999"	33	4069	8.11
	"30-34 years"	"30-34"	"Wisconsin"	"55"	"Dane County, WI"	"55025"	18	2408	7.48 (Unreliable)
	"30-34 years"	"30-34"	"Wisconsin"	"55"	"Milwaukee County, WI"	"55079"	19	3839	4.95 (Unreliable)
	"30-34 years"	"30-34"	"Wisconsin"	"55"	"Unidentified Counties, WI"	"55999"	78	12799	6.09
	"35-39 years"	"35-39"	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	25	3477	7.19
	"35-39 years"	"35-39"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	39	6970	5.60
	"35-39 years"	"35-39"	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	14	1398	10.01 (Unreliable)
	"35-39 years"	"35-39"	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	21	2646	7.94
	"35-39 years"	"35-39"	"California"	"06"	"Alameda County, CA"	"06001"	13	4402	2.95 (Unreliable)
	"35-39 years"	"35-39"	"California"	"06"	"Fresno County, CA"	"06019"	10	1786	5.60 (Unreliable)
	"35-39 years"	"35-39"	"California"	"06"	"Los Angeles County, CA"	"06037"	105	23107	4.54
	"35-39 years"	"35-39"	"California"	"06"	"Orange County, CA"	"06059"	27	7920	3.41
	"35-39 years"	"35-39"	"California"	"06"	"Riverside County, CA"	"06065"	26	4061	6.40
	"35-39 years"	"35-39"	"California"	"06"	"Sacramento County, CA"	"06067"	17	2968	5.73 (Unreliable)
	"35-39 years"	"35-39"	"California"	"06"	"San Bernardino County, CA"	"06071"	28	3906	7.17
	"35-39 years"	"35-39"	"California"	"06"	"San Diego County, CA"	"06073"	35	7530	4.65
	"35-39 years"	"35-39"	"California"	"06"	"Santa Clara County, CA"	"06085"	20	5113	3.91
	"35-39 years"	"35-39"	"California"	"06"	"Unidentified Counties, CA"	"06999"	22	3854	5.71
	"35-39 years"	"35-39"	"Colorado"	"08"	"Denver County, CO"	"08031"	14	1869	7.49 (Unreliable)
	"35-39 years"	"35-39"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	10	2306	4.34 (Unreliable)
	"35-39 years"	"35-39"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	12	1574	7.62 (Unreliable)
	"35-39 years"	"35-39"	"Delaware"	"10"	"New Castle County, DE"	"10003"	10	1002	9.98 (Unreliable)
	"35-39 years"	"35-39"	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	15	2115	7.09 (Unreliable)
	"35-39 years"	"35-39"	"Florida"	"12"	"Broward County, FL"	"12011"	23	4007	5.74
	"35-39 years"	"35-39"	"Florida"	"12"	"Duval County, FL"	"12031"	12	1528	7.85 (Unreliable)
	"35-39 years"	"35-39"	"Florida"	"12"	"Hillsborough County, FL"	"12057"	12	2358	5.09 (Unreliable)
	"35-39 years"	"35-39"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	27	5476	4.93
	"35-39 years"	"35-39"	"Florida"	"12"	"Orange County, FL"	"12095"	17	2540	6.69 (Unreliable)
	"35-39 years"	"35-39"	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	25	3707	6.74
	"35-39 years"	"35-39"	"Georgia"	"13"	"Cobb County, GA"	"13067"	10	1684	5.94 (Unreliable)
	"35-39 years"	"35-39"	"Georgia"	"13"	"DeKalb County, GA"	"13089"	13	1839	7.07 (Unreliable)
	"35-39 years"	"35-39"	"Georgia"	"13"	"Fulton County, GA"	"13121"	10	2241	4.46 (Unreliable)
	"35-39 years"	"35-39"	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	16	1976	8.10 (Unreliable)
	"35-39 years"	"35-39"	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	57	7652	7.45
	"35-39 years"	"35-39"	"Idaho"	"16"	"Unidentified Counties, ID"	"16999"	12	1622	7.40 (Unreliable)
	"35-39 years"	"35-39"	"Illinois"	"17"	"Cook County, IL"	"17031"	60	11767	5.10
	"35-39 years"	"35-39"	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	29	4202	6.90
	"35-39 years"	"35-39"	"Indiana"	"18"	"Marion County, IN"	"18097"	17	1626	10.46 (Unreliable)
	"35-39 years"	"35-39"	"Indiana"	"18"	"Unidentified Counties, IN"	"18999"	37	4590	8.06
	"35-39 years"	"35-39"	"Iowa"	"19"	"Unidentified Counties, IA"	"19999"	20	3390	5.90
	"35-39 years"	"35-39"	"Kentucky"	"21"	"Unidentified Counties, KY"	"21999"	19	3510	5.41 (Unreliable)
	"35-39 years"	"35-39"	"Louisiana"	"22"	"Unidentified Counties, LA"	"22999"	30	3595	8.34
	"35-39 years"	"35-39"	"Maine"	"23"	"Unidentified Counties, ME"	"23999"	10	1048	9.54 (Unreliable)
	"35-39 years"	"35-39"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	10	1592	6.28 (Unreliable)
	"35-39 years"	"35-39"	"Maryland"	"24"	"Montgomery County, MD"	"24031"	17	3223	5.27 (Unreliable)
	"35-39 years"	"35-39"	"Maryland"	"24"	"Prince George's County, MD"	"24033"	10	2111	4.74 (Unreliable)
	"35-39 years"	"35-39"	"Maryland"	"24"	"Unidentified Counties, MD"	"24999"	19	2605	7.29 (Unreliable)
	"35-39 years"	"35-39"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	11	4245	2.59 (Unreliable)
	"35-39 years"	"35-39"	"Michigan"	"26"	"Kent County, MI"	"26081"	11	1047	10.51 (Unreliable)
	"35-39 years"	"35-39"	"Michigan"	"26"	"Wayne County, MI"	"26163"	26	2589	10.04
	"35-39 years"	"35-39"	"Michigan"	"26"	"Unidentified Counties, MI"	"26999"	23	3886	5.92
	"35-39 years"	"35-39"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	10	3210	3.12 (Unreliable)
	"35-39 years"	"35-39"	"Minnesota"	"27"	"Unidentified Counties, MN"	"27999"	24	4448	5.40
	"35-39 years"	"35-39"	"Mississippi"	"28"	"Unidentified Counties, MS"	"28999"	26	3173	8.19
	"35-39 years"	"35-39"	"Missouri"	"29"	"Unidentified Counties, MO"	"29999"	35	3754	9.32
	"35-39 years"	"35-39"	"Nebraska"	"31"	"Douglas County, NE"	"31055"	10	1179	8.48 (Unreliable)
	"35-39 years"	"35-39"	"Nebraska"	"31"	"Unidentified Counties, NE"	"31999"	14	1469	9.53 (Unreliable)
	"35-39 years"	"35-39"	"Nevada"	"32"	"Clark County, NV"	"32003"	16	3751	4.27 (Unreliable)
	"35-39 years"	"35-39"	"New Jersey"	"34"	"Burlington County, NJ"	"34005"	10	811	12.33 (Unreliable)
	"35-39 years"	"35-39"	"New York"	"36"	"Kings County, NY"	"36047"	31	7731	4.01
	"35-39 years"	"35-39"	"New York"	"36"	"Nassau County, NY"	"36059"	12	3453	3.48 (Unreliable)
	"35-39 years"	"35-39"	"New York"	"36"	"Onondaga County, NY"	"36067"	12	765	15.69 (Unreliable)
	"35-39 years"	"35-39"	"New York"	"36"	"Queens County, NY"	"36081"	25	5757	4.34
	"35-39 years"	"35-39"	"New York"	"36"	"Suffolk County, NY"	"36103"	14	3197	4.38 (Unreliable)
	"35-39 years"	"35-39"	"New York"	"36"	"Unidentified Counties, NY"	"36999"	16	4774	3.35 (Unreliable)
	"35-39 years"	"35-39"	"North Carolina"	"37"	"Mecklenburg County, NC"	"37119"	15	2481	6.05 (Unreliable)
	"35-39 years"	"35-39"	"North Carolina"	"37"	"Wake County, NC"	"37183"	15	2455	6.11 (Unreliable)
	"35-39 years"	"35-39"	"North Carolina"	"37"	"Unidentified Counties, NC"	"37999"	58	7756	7.48
	"35-39 years"	"35-39"	"Ohio"	"39"	"Cuyahoga County, OH"	"39035"	13	1914	6.79 (Unreliable)
	"35-39 years"	"35-39"	"Ohio"	"39"	"Franklin County, OH"	"39049"	10	2597	3.85 (Unreliable)
	"35-39 years"	"35-39"	"Ohio"	"39"	"Unidentified Counties, OH"	"39999"	46	6417	7.17
	"35-39 years"	"35-39"	"Oklahoma"	"40"	"Oklahoma County, OK"	"40109"	10	1274	7.85 (Unreliable)
	"35-39 years"	"35-39"	"Oklahoma"	"40"	"Unidentified Counties, OK"	"40999"	10	1977	5.06 (Unreliable)
	"35-39 years"	"35-39"	"Oregon"	"41"	"Multnomah County, OR"	"41051"	13	1969	6.60 (Unreliable)
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"Allegheny County, PA"	"42003"	12	2163	5.55 (Unreliable)
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"Philadelphia County, PA"	"42101"	20	2819	7.09
	"35-39 years"	"35-39"	"Pennsylvania"	"42"	"Unidentified Counties, PA"	"42999"	24	4584	5.24
	"35-39 years"	"35-39"	"South Carolina"	"45"	"Unidentified Counties, SC"	"45999"	26	3214	8.09
	"35-39 years"	"35-39"	"Tennessee"	"47"	"Shelby County, TN"	"47157"	16	1481	10.80 (Unreliable)
	"35-39 years"	"35-39"	"Tennessee"	"47"	"Unidentified Counties, TN"	"47999"	34	3917	8.68
	"35-39 years"	"35-39"	"Texas"	"48"	"Bexar County, TX"	"48029"	21	3337	6.29
	"35-39 years"	"35-39"	"Texas"	"48"	"Collin County, TX"	"48085"	13	2063	6.30 (Unreliable)
	"35-39 years"	"35-39"	"Texas"	"48"	"Dallas County, TX"	"48113"	26	5244	4.96
	"35-39 years"	"35-39"	"Texas"	"48"	"Harris County, TX"	"48201"	49	9972	4.91
	"35-39 years"	"35-39"	"Texas"	"48"	"Tarrant County, TX"	"48439"	26	3640	7.14
	"35-39 years"	"35-39"	"Texas"	"48"	"Unidentified Counties, TX"	"48999"	49	8649	5.67
	"35-39 years"	"35-39"	"Utah"	"49"	"Salt Lake County, UT"	"49035"	16	2516	6.36 (Unreliable)
	"35-39 years"	"35-39"	"Utah"	"49"	"Utah County, UT"	"49049"	10	1385	7.22 (Unreliable)
	"35-39 years"	"35-39"	"Utah"	"49"	"Unidentified Counties, UT"	"49999"	10	1593	6.28 (Unreliable)
	"35-39 years"	"35-39"	"Virginia"	"51"	"Fairfax County, VA"	"51059"	17	3462	4.91 (Unreliable)
	"35-39 years"	"35-39"	"Virginia"	"51"	"Unidentified Counties, VA"	"51999"	49	8052	6.09
	"35-39 years"	"35-39"	"Washington"	"53"	"King County, WA"	"53033"	13	5686	2.29 (Unreliable)
	"35-39 years"	"35-39"	"Washington"	"53"	"Unidentified Counties, WA"	"53999"	10	2683	3.73 (Unreliable)
	"35-39 years"	"35-39"	"Wisconsin"	"55"	"Milwaukee County, WI"	"55079"	18	1683	10.70 (Unreliable)
	"35-39 years"	"35-39"	"Wisconsin"	"55"	"Unidentified Counties, WI"	"55999"	29	5095	5.69
	"40-44 years"	"40-44"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	10	1493	6.70 (Unreliable)
	"40-44 years"	"40-44"	"California"	"06"	"Los Angeles County, CA"	"06037"	31	5892	5.26
	"40-44 years"	"40-44"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	10	1464	6.83 (Unreliable)
	"40-44 years"	"40-44"	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	11	1486	7.40 (Unreliable)
	"40-44 years"	"40-44"	"Illinois"	"17"	"Cook County, IL"	"17031"	22	2605	8.45
	"40-44 years"	"40-44"	"North Carolina"	"37"	"Unidentified Counties, NC"	"37999"	18	1539	11.70 (Unreliable)
	"40-44 years"	"40-44"	"Ohio"	"39"	"Unidentified Counties, OH"	"39999"	10	1132	8.83 (Unreliable)
	"40-44 years"	"40-44"	"Tennessee"	"47"	"Unidentified Counties, TN"	"47999"	10	769	13.00 (Unreliable)
	"40-44 years"	"40-44"	"Texas"	"48"	"Bexar County, TX"	"48029"	13	716	18.16 (Unreliable)
	"40-44 years"	"40-44"	"Texas"	"48"	"Dallas County, TX"	"48113"	16	1146	13.96 (Unreliable)
	"40-44 years"	"40-44"	"Texas"	"48"	"Harris County, TX"	"48201"	12	2211	5.43 (Unreliable)
	"40-44 years"	"40-44"	"Texas"	"48"	"Unidentified Counties, TX"	"48999"	18	1658	10.86 (Unreliable)
	"40-44 years"	"40-44"	"Virginia"	"51"	"Unidentified Counties, VA"	"51999"	10	1557	6.42 (Unreliable)
"---"
"Dataset: Linked Birth / Infant Death Records, 2007-2016"
"Query Parameters:"
"Year of Death: 2016"
"Group By: Age of Mother; State; County"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd.html for more information."
"---"
"Query Date: Mar 8, 2019 8:48:06 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers of Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics (DVS). Linked Birth / Infant Death Records"
"2007-2016, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program, on CDC WONDER On-line Database. Accessed at http://wonder.cdc.gov/lbd-current.html on Mar 8, 2019 8:48:06 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears instead of death, birth, and rate values when the death value represents 0-9 sub-national events. This"
"is because the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/lbd.html#Assurance of Confidentiality."
"2. 'Unreliable' appears for rates when there are fewer than 20 deaths in the numerator. This is because the figure does not meet"
"the NCHS standard of reliability or precision. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Unreliable."
"3. 'Missing' appears when county data is not available for a certain year. This occurs because the county did not meet minimum"
"population standards and thus the data for the county was recoded to the ""Unidentified Counties"" category for the state of the"
"county. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Missing."
"4. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd.html#WeightFactors-Totals."
"5. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Weight Factors."
"6. County-level data are shown only for counties with populations of 250,000 persons or more. Data for all counties with fewer"
"than 250,000 persons within a state are combined together under the label ""Unidentified Counties."""
"7. Dade county, Florida (FIPS code 12025) was renamed Miami-Dade County (FIPS code 12086) effective November 13, 1997. The area"
"is coded to Miami-Dade (12086) after 2002 and Dade (12025) for earlier years in other linked-birth datasets."
"8. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore county (FIPS code 24005)."
"9. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis county (FIPS code 29189)."
"10. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"11. Kings county, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"12. New York county, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"13. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"14. Richmond county, New York (FIPS code 36085) represents Staten Island Borough, New York City."
"15. As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the data"
"for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because they did"
"not meet minimum population standards. Pinal County, AZ (04021); Marin County, CA (06041); Merced County, CA (06047); Placer"
"County, CA (06061); San Luis Obispo County, CA (06079); Douglas County, CO (08035); Weld County, CO (08123); Lake County, FL"
"(12069); Leon County, FL (12073); Osceola County, FL (12097); St. Lucie County, FL (12111); Chatham County, GA (13051); Clayton"
"County, GA (13063); Hamilton County, IN (18057); Howard County, MD (24027); Kalamazoo County, MI (26077); Ottawa County, MI"
"(26139); Greene County, MO (29077); Durham County, NC (37063); Cleveland County, OK (40027); Horry County, SC (45051); Lexington"
"County, SC (45063); Rutherford County, TN (47149); Bell County, TX (48027); Brazoria County, TX (48039); Lubbock County, TX"
"(48303); Webb County, TX (48479); Williamson County, TX (48491); Davis County, UT (49011); Loudoun County, VA (51107); Kitsap"
"County, WA (53035); Thurston County, WA (53067). <br/> After 2013 the data for the following counties was recoded to the"
"""Unidentified Counties"" category within the state of the county because they did not meet minimum population standards. Hinds"
"County, MS (28049); Mahoning County, OH (39099)."
